hsa-mir-153
hsa-mir-190a-5p
hsa-mir-4501
hsa-mir-503-5p
hsa-mir-526b
hsa-mir-3908
hsa-mir-378a-3p
hsa-mir-329-3p
hsa-mir-370
hsa-mir-330
hsa-let-7d-5p
hsa-mir-1300
hsa-mir-101-3p
hsa-mir-708-5p
hsa-mir-518a
hsa-mir-635
hsa-mir-3664
hsa-mir-23b-3p
hsa-mir-129-5p
hsa-mir-4487
hsa-let-7d
hsa-mir-4417
hsa-mir-129-2
hsa-mir-6782
hsa-mir-690
hsa-mir-1285-1
hsa-mir-6880
hsa-mir-302a-3p
hsa-mir-103
hsa-mir-92
hsa-mir-1269b
hsa-mir-1284
hsa-mir-513
hsa-let-7c-5p
hsa-mir-186
hsa-mir-1323
hsa-mir-4695
hsa-mir-586
hsa-mir-335
hsa-let-7g-5p
hsa-mir-128-2
hsa-mir-18a
hsa-mir-3131
hsa-mir-196b
hsa-mir-219a
hsa-mir-199b
hsa-mir-208a-3p
hsa-mir-181d
hsa-mir-378i
hsa-mir-182
hsa-mir-106
hsa-mir-636
hsa-mir-25
hsa-mir-129-1
hsa-mir-518a-2
hsa-mir-548p
hsa-mir-523
hsa-mir-922
hsa-mir-188
hsa-mir-148a-3p
hsa-mir-1302
hsa-mir-26a-2
hsa-mir-342
hsa-mir-550
hsa-mir-613
hsa-mir-223-3p
hsa-mir-3619
hsa-mir-191
hsa-mir-125b-1
hsa-mir-128b
hsa-mir-325
hsa-mir-122
hsa-mir-29
hsa-mir-199
hsa-mir-1972
hsa-mir-519
hsa-let-7b-5p
hsa-mir-1225
hsa-mir-2116
hsa-mir-3926
hsa-mir-519e
hsa-mir-616
hsa-mir-1271
hsa-mir-3925
hsa-mir-1295a
hsa-mir-340-5p
hsa-mir-153-2
hsa-mir-29b-1
hsa-mir-1295b
hsa-mir-301b
hsa-mir-208b
hsa-mir-320b-1
hsa-mir-328-3p
hsa-mir-4262
hsa-mir-764
hsa-mir-4290
hsa-mir-1274a
hsa-mir-2682
hsa-mir-495
hsa-mir-378d-2
hsa-mir-3179-3
hsa-mir-92b-3p
hsa-mir-769
hsa-mir-1974
hsa-mir-938
hsa-mir-923
hsa-mir-16-2
hsa-mir-92a-3p
hsa-mir-3622a
hsa-mir-942
hsa-mir-518e
hsa-mir-211
hsa-mir-18
hsa-mir-331
hsa-mir-483
hsa-mir-579
hsa-mir-1825
hsa-mir-8084
hsa-mir-4765
hsa-mir-9501
hsa-mir-550a-3
hsa-mir-154-5p
hsa-mir-548
hsa-mir-103b-1
hsa-mir-125b-2
hsa-mir-514a-3
hsa-mir-4454
hsa-let-7i
hsa-mir-3182
hsa-mir-219-1
hsa-mir-526a-1
hsa-mir-622
hsa-mir-27b
hsa-mir-758-3p
hsa-mir-490-3p
hsa-mir-367-3p
hsa-mir-4469
hsa-mir-185-5p
hsa-mir-451
hsa-mir-651
hsa-mir-875
hsa-mir-519d-3p
hsa-mir-196a
hsa-mir-3065
hsa-mir-302b-3p
hsa-mir-526a-2
hsa-mir-25-3p
hsa-mir-32
hsa-mir-4294
hsa-mir-4286
hsa-mir-487a
hsa-mir-449b
hsa-mir-623
hsa-mir-4731
hsa-mir-29a-3p
hsa-mir-329-2
hsa-mir-218-5p
hsa-let-7e
hsa-mir-514a
hsa-mir-105-1
hsa-mir-410
hsa-mir-497
hsa-mir-448
hsa-mir-376a-3p
hsa-mir-1249
hsa-mir-3940
hsa-let-7a-5p
hsa-mir-1275
hsa-mir-421
hsa-mir-564
hsa-mir-1468
hsa-mir-1281
hsa-mir-365-2
hsa-mir-660
hsa-mir-103b-2
hsa-mir-9-1
hsa-mir-125
hsa-mir-221
hsa-mir-3158
hsa-mir-5096
hsa-mir-148b-3p
hsa-mir-615-3p
hsa-mir-206
hsa-mir-590-5p
hsa-mir-4530
hsa-mir-4436b-1
hsa-mir-6852
hsa-mir-618
hsa-mir-494-3p
hsa-mir-520a-3p
hsa-mir-3915
hsa-mir-450a
hsa-mir-450a-2
hsa-mir-95
hsa-mir-140-5p
hsa-mir-4534
hsa-mir-3148
hsa-mir-181d-5p
hsa-mir-708
hsa-mir-512-1
hsa-mir-450a-1
hsa-mir-1260a
hsa-mir-142
hsa-mir-548ac
hsa-mir-4782
hsa-mir-648
hsa-mir-4770
hsa-mir-373-3p
hsa-mir-30e-5p
hsa-mir-9-2
hsa-mir-645
hsa-mir-181a-5p
hsa-mir-377
hsa-mir-1229
hsa-mir-324-5p
hsa-mir-409
hsa-mir-943
hsa-mir-630
hsa-mir-603
hsa-mir-106a-5p
hsa-mir-487b
hsa-mir-561
hsa-mir-4463
hsa-mir-16-5p
hsa-mir-122-5p
hsa-mir-92-1
hsa-mir-510
hsa-mir-381-3p
hsa-mir-3611
hsa-mir-219
hsa-mir-501
hsa-mir-517a
hsa-mir-181b-2
hsa-mir-628
hsa-mir-505
hsa-mir-488
hsa-mir-3646
hsa-mir-302
hsa-mir-133
hsa-mir-3144
hsa-mir-3198
hsa-mir-219a-5p
hsa-mir-550b-2
hsa-mir-145
hsa-mir-138-1
hsa-mir-1226
hsa-mir-485-5p
hsa-mir-593
hsa-mir-21-5p
hsa-mir-183-5p
hsa-mir-514b
hsa-mir-181-2
hsa-mir-5187
hsa-mir-567
hsa-mir-4795
hsa-mir-512-2
hsa-mir-338
hsa-mir-6124
hsa-mir-544b
hsa-mir-662
hsa-mir-4496
hsa-mir-4742
hsa-mir-124-2
hsa-mir-1201
hsa-mir-694
hsa-mir-336
hsa-mir-30d-5p
hsa-mir-103a-2
hsa-mir-302c
hsa-mir-29b
hsa-mir-590-3p
hsa-mir-499a
hsa-mir-371a
hsa-mir-224
hsa-mir-604
hsa-mir-323
hsa-mir-3610
hsa-mir-6831
hsa-mir-518d
hsa-mir-21a
hsa-mir-374c
hsa-mir-499
hsa-mir-424
hsa-mir-155
hsa-mir-520a
hsa-mir-4449
hsa-mir-605
hsa-mir-495-3p
hsa-mir-4306
hsa-mir-132-3p
hsa-mir-105
hsa-mir-1260b
hsa-mir-34
hsa-mir-4281
hsa-mir-1273c
hsa-mir-125a-3p
hsa-mir-7702
hsa-mir-4513
hsa-mir-1265
hsa-mir-2861
hsa-mir-22-3p
hsa-mir-3622b
hsa-mir-320b
hsa-mir-30
hsa-mir-15b
hsa-mir-129
hsa-mir-365a-3p
hsa-mir-3126
hsa-mir-2110
hsa-mir-376a-2
hsa-mir-4531
hsa-mir-187-3p
hsa-mir-29a
hsa-let-7
hsa-mir-520d
hsa-mir-631
hsa-mir-514a-1
hsa-mir-134
hsa-mir-664
hsa-mir-1244
hsa-mir-101-1
hsa-mir-4518
hsa-mir-2166
hsa-mir-367a
hsa-mir-874
hsa-mir-15a
hsa-mir-302d
hsa-mir-16-1
hsa-mir-1277
hsa-mir-4510
hsa-mir-4270
hsa-mir-205
hsa-mir-200
hsa-mir-130b-3p
hsa-mir-548b
hsa-mir-687
hsa-mir-294
hsa-mir-786
hsa-mir-6724
hsa-mir-126
hsa-mir-3195
hsa-mir-424-5p
hsa-let-7c
hsa-mir-9
hsa-mir-590
hsa-mir-5584
hsa-mir-592
hsa-mir-520g
hsa-mir-1287
hsa-mir-874-3p
hsa-mir-345
hsa-mir-20b-5p
hsa-mir-646
hsa-mir-320a
hsa-mir-770
hsa-mir-323a
hsa-mir-218
hsa-mir-365
hsa-mir-455-5p
hsa-mir-30c
