bc041623
chl1-as2
linc00467
lexis
egot
afdn-dt
foxd3-as1
drhc
ak123408
al365371
ppiel
bm742401
akr7l
serhl
loc152742
bc017993
linc01108
linc00226
linc02407
ak002107
iqcj-schip1-as1
tmem51-as1
uph
ak056098
linc00689
dhrs4-as1
bc041954
thumpd3-as1
af087976
dars-as1
ak022029
linc01140
linc00651
fam224a
linc00880
ensg00000232104
lnc00152
dgcr5
arlnc1
b3galt5-as1
linc00536
linc01071
htt-as
znf582-as1
psmb8-as1
nrir
ahif
nr_034119
nr_024008.1
map3k20-as1
ax747207
hotair
lincrna-vldlr
hymai
lama5-as1
ptcsc1
nr_023388
linc01503
nr_038464
fr165245
tonsl-as1
linc01798
nnt-as1
heircc
linc01527
hhip-as1
rp11-128a17.1
xr_248864.1
ac002454.1
nr_027358
fam212b-as1
nr_027182
har1a
skp2
nr_037661
meg4
ensg00000234741
apoc1p1
nr_029373
pcat7
ccat1
nr_036484
ak025180
linc00645
ak123657
enst00000565617
nbat1
col18a1-as1
abhd11-as1
snhg18
enst00000438684
mt1dp
xr_243433.2
bc040587
arhgap5-as1
bc016831
rp1-223e5.4
asap1-it1
c14orf132
loc149086
xloc_000647
dreh
dlx6-as1
dmpk
linc00504
prkcz-as1
fendrr
nr_045617
nr_002734
linc00284
linc01419
nap1l6
cr619813
rp11-80h5.7
neat1_2
xr_241594.1
filnc1
ac024560.2
bc067277
enst00000544591
ak123263
loc643542
traf3ip2-as1
rp11-181g12.2
adamts9-as1
ttll11-it1
st7ot1
nr_037793.1
znf561-as1
falec
hoxa10-as
cdkn2b-as1
fam138c
linc02476
gata3-as1
bc032020
linc01094
xloc_007697
hesrg
srgap3-as2
um9-5
hspc324
enst00000453783
enst00000440498
har1b
linc01315
st7-as1
bcar4
hoxa11-as
muc5b-as1
ak124454
ac016745.3
sh3bp5-as1
dnah17-as1
snhg22
linc01589
enst00000539653.1
x15675
hnrnpu
rundc3a-as1
nr_046028
psmg3-as1
hcn3
elf3-as1
ak096174
heih
rn7sk
nr_002809
fabp5p3
pwrn1
ovaal
nr_034077.1
nav2-as2
mif-as1
esrg
dgcr9
nr_047562
